actor,actor_type,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,stance_strength,avg_sentiment,cluster_spread,top_cluster,top_frame,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,cluster_spread_s,share_of_voice,stance_label,impact_score,narrative_role
Government,State / government,412,222,324.573850215696,54061433,-0.28322815533980583,0.4778398058252427,0.03337378640776699,9,Ukraine war and moral neutrality,Other Neutrality Debate,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,1.0,1.0,1.0,1.0,1.0,0.08729110537556328,Lean preserve,93.2,Government responder / reframer
Dáil,State / government,185,92,144.25052581222567,20815100,-0.5031621621621623,0.6370864864864865,0.04432432432432432,9,Referendum and constitutional protection,Other Neutrality Debate,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html,0.44768856447688565,0.411764705882353,0.4436248619587135,0.38502678980041094,1.0,0.03879483156387217,Strong preserve,52.7,Defender of neutrality
Micheál Martin,Person,155,73,121.42710648564784,18532056,-0.1630451612903226,0.5459999999999999,-0.01032258064516129,9,Ukraine war and moral neutrality,Defence Capability / Underinvestment,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.3746958637469586,0.32579185520362,0.3732047811377405,0.342796240713782,1.0,0.03265668611517691,Lean preserve,46.7,Government responder / reframer
Sinn Féin,Political party,161,75,124.10664807118415,16821205,-0.5097204968944099,0.5180062111801242,-0.02360248447204969,9,Referendum and constitutional protection,Other Neutrality Debate,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,https://irishtimes.com/culture/books/review/2026/04/20/crime-fiction-anne-cadwallader-blends-politics-violence-law-and-media-in-gripping-debut,0.38929440389294406,0.33484162895927605,0.3814723212603063,0.3111498172828678,1.0,0.03337732379669628,Strong preserve,46.0,Opposition / neutrality defender
Defence Forces,State / government,133,64,106.43152870893108,14266319,-0.4224887218045113,0.6320075187969925,0.0368421052631579,6,Ukraine war and moral neutrality,Other Neutrality Debate,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html,0.32116788321167883,0.28506787330316746,0.326936963687448,0.26389087762435004,0.625,0.028623765536378118,Lean preserve,38.5,Amplifier / recurring participant
Russia,State / geopolitical actor,129,74,102.56583129112244,15157251,0.0352015503875969,0.3781782945736434,-0.022480620155038763,7,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.31143552311435524,0.330316742081448,0.3150096218331752,0.2803708699323601,0.75,0.0275841223229038,Mixed / unclear,37.9,Geopolitical reference point
NATO,International body,82,68,68.7100563152801,16333958,-0.01019512195121951,0.29536585365853657,0.04085365853658537,9,Ukraine war and moral neutrality,Other Neutrality Debate,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.19708029197080293,0.30316742081447967,0.21054997115852006,0.302136978130047,1.0,0.018478927868625806,Mixed / unclear,37.2,Alignment reference point
Donald Trump,Person,89,73,74.43170861735119,15759532,-0.34838202247191014,0.37647191011235953,0.11741573033707867,8,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.21411192214111924,0.32579185520362,0.22820373336548938,0.29151154761287956,0.875,0.02001771281291664,Lean preserve,37.2,Amplifier / recurring participant
Ukraine,State / geopolitical actor,116,86,96.06529603201608,18862466,0.041379310344827586,0.2904655172413793,0.008189655172413794,6,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.2798053527980535,0.3846153846153847,0.2949526701654299,0.34890799139564055,0.625,0.025835864082373563,Mixed / unclear,37.1,Geopolitical reference point
Israel,State / geopolitical actor,94,66,77.60277399556655,16287909,-0.46491489361702126,0.5037446808510638,0.14840425531914894,7,Ukraine war and moral neutrality,Other Neutrality Debate,Whisky diplomacy of King Charles and Donald Trump can’t mask depth of US-UK political breach,https://irishtimes.com/world/uk/2026/05/01/whisky-diplomacy-of-king-charles-and-donald-trump-cant-mask-depth-of-us-uk-political-breach,0.22627737226277372,0.2941176470588236,0.23798783613410804,0.301285187908356,0.75,0.02087054122746281,Strong preserve,37.0,Geopolitical reference point
