entity,entity_group,actor_type,mentions,unique_stories,weighted_mentions,estimated_reach,share_of_voice,avg_stance,stance_label,avg_sentiment,top_cluster,top_frame,impact_score,narrative_role,sample_headline,sample_link
The Irish Times,Media outlet,Media outlet,37,37,36.25414538342482,15422858,0.0615978106295082,-0.1825135135135135,Lean preserve,0.15,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,100.0,Media amplifier,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Government,Actor / organisation,State / government,412,222,324.573850215696,54061433,0.08729110537556328,-0.28322815533980583,Lean preserve,0.03337378640776699,Ukraine war and moral neutrality,Other Neutrality Debate,93.2,Government responder / reframer,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
The Irish Independent,Media outlet,Media outlet,27,27,25.423826277867448,3408559,0.0431964957380455,-0.0259629629629629,Mixed / unclear,0.0722222222222222,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,57.3,Media amplifier,New law will free IDA and EI to support firms with defence links,https://independent.ie/world-news/pope-leo-xiv-delivers-easter-message-rejecting-trump-administrations-depiction-of-warlike-god-as-iran-conflict-rages/a130741528.html
The Irish Examiner,Media outlet,Media outlet,21,21,21.007480146479324,8605107,0.0356928778814243,-0.289095238095238,Lean preserve,0.2642857142857143,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,56.4,Media amplifier,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html
Dáil,Actor / organisation,State / government,185,92,144.25052581222567,20815100,0.03879483156387217,-0.5031621621621623,Strong preserve,0.04432432432432432,Referendum and constitutional protection,Other Neutrality Debate,52.7,Defender of neutrality,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html
Micheál Martin,Actor / organisation,Person,155,73,121.42710648564784,18532056,0.03265668611517691,-0.1630451612903226,Lean preserve,-0.01032258064516129,Ukraine war and moral neutrality,Defence Capability / Underinvestment,46.7,Government responder / reframer,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Sinn Féin,Actor / organisation,Political party,161,75,124.10664807118415,16821205,0.03337732379669628,-0.5097204968944099,Strong preserve,-0.02360248447204969,Referendum and constitutional protection,Other Neutrality Debate,46.0,Opposition / neutrality defender,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,https://irishtimes.com/culture/books/review/2026/04/20/crime-fiction-anne-cadwallader-blends-politics-violence-law-and-media-in-gripping-debut
Defence Forces,Actor / organisation,State / government,133,64,106.43152870893108,14266319,0.028623765536378118,-0.4224887218045113,Lean preserve,0.0368421052631579,Ukraine war and moral neutrality,Other Neutrality Debate,38.5,Amplifier / recurring participant,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html
Russia,Actor / organisation,State / geopolitical actor,129,74,102.56583129112244,15157251,0.0275841223229038,0.0352015503875969,Mixed / unclear,-0.022480620155038763,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,37.9,Geopolitical reference point,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
NATO,Actor / organisation,International body,82,68,68.7100563152801,16333958,0.018478927868625806,-0.01019512195121951,Mixed / unclear,0.04085365853658537,Ukraine war and moral neutrality,Other Neutrality Debate,37.2,Alignment reference point,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238
